,,,"Toronto, City [Census subdivision], Ontario",,,,,,"Toronto, Census division [Census division], Ontario"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,  127461,,,...,,...,  127461,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,   98833,,,...,,...,   98833,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",,  317230,,,...,,...,  317230,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,  155188,,,...,,...,  155188,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,  120979,,,...,,...,  120979,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,  137685,,,...,,...,  137685,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,   70494,,,...,,...,   70494,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   59981,,,...,,...,   59981,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21,  518290,,  246070,,  272215,,  518285,,  246070,,  272220,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   31059,,   31130,,   31006,,   31059,,   31130,,   31006,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   28647,,   28567,,   28713,,   28647,,   28567,,   28713,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40,  517005,,  245110,,  271895,,  517005,,  245105,,  271900,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   47407,,   49458,,   45557,,   47407,,   49458,,   45557,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   38513,,   39445,,   37673,,   38513,,   39445,,   37673,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42, 2691665,, 1296235,, 1395430,, 2691665,, 1296235,, 1395430,
"Income of economic families in 2015","  In the bottom half of the distribution",, 1455315,,  686810,,  768500,, 1455315,,  686810,,  768505,
"Income of economic families in 2015","    In the bottom decile",,  404560,,  195060,,  209500,,  404560,,  195060,,  209500,
"Income of economic families in 2015","    In the second decile",,  320165,,  146180,,  173980,,  320165,,  146185,,  173980,
"Income of economic families in 2015","    In the third decile",,  268495,,  125455,,  143040,,  268500,,  125455,,  143040,
"Income of economic families in 2015","    In the fourth decile",,  238680,,  113000,,  125680,,  238680,,  113000,,  125680,
"Income of economic families in 2015","    In the fifth decile",,  223415,,  107115,,  116300,,  223410,,  107115,,  116300,
"Income of economic families in 2015","  In the top half of the distribution",, 1236350,,  609425,,  626925,, 1236350,,  609425,,  626925,
"Income of economic families in 2015","    In the sixth decile",,  216450,,  103995,,  112460,,  216455,,  103995,,  112460,
"Income of economic families in 2015","    In the seventh decile",,  213325,,  103540,,  109790,,  213325,,  103540,,  109785,
"Income of economic families in 2015","    In the eighth decile",,  219865,,  107815,,  112050,,  219865,,  107815,,  112050,
"Income of economic families in 2015","    In the ninth decile",,  241850,,  119420,,  122425,,  241850,,  119425,,  122430,
"Income of economic families in 2015","    In the top decile",,  344855,,  174650,,  170200,,  344855,,  174650,,  170205,
"Low income in 2015","Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data",43, 2691665,, 1296235,, 1395430,, 2691665,, 1296235,, 1395430,
"Low income in 2015","  0 to 17 years",,  478360,,  245340,,  233020,,  478360,,  245340,,  233020,
"Low income in 2015","    0 to 5 years",,  162510,,   83480,,   79030,,  162510,,   83480,,   79030,
"Low income in 2015","  18 to 64 years",, 1811265,,  874400,,  936860,, 1811260,,  874400,,  936860,
"Low income in 2015","  65 years and over",,  402045,,  176495,,  225550,,  402045,,  176495,,  225550,
"Low income in 2015","In low income based on the Low-income measure; after tax (LIM-AT)",,  543385,,  254890,,  288495,,  543390,,  254890,,  288495,
"Low income in 2015","  0 to 17 years",,  125675,,   64485,,   61195,,  125675,,   64485,,   61195,
"Low income in 2015","    0 to 5 years",,   42685,,   21880,,   20805,,   42690,,   21880,,   20810,
"Low income in 2015","  18 to 64 years",,  347775,,  163045,,  184730,,  347775,,  163045,,  184725,
"Low income in 2015","  65 years and over",,   69935,,   27360,,   42575,,   69935,,   27360,,   42575,
"Low income in 2015","Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%)",,     20.2,,     19.7,,     20.7,,     20.2,,     19.7,,     20.7,
"Low income in 2015","  0 to 17 years (%)",,     26.3,,     26.3,,     26.3,,     26.3,,     26.3,,     26.3,
"Low income in 2015","    0 to 5 years (%)",,     26.3,,     26.2,,     26.3,,     26.3,,     26.2,,     26.3,
"Low income in 2015","  18 to 64 years (%)",,     19.2,,     18.6,,     19.7,,     19.2,,     18.6,,     19.7,
"Low income in 2015","  65 years and over (%)",,     17.4,,     15.5,,     18.9,,     17.4,,     15.5,,     18.9,
"Low income in 2015","In low income based on the Low-income cut-offs; after tax (LICO-AT)",,  469325,,  224145,,  245180,,  469325,,  224145,,  245185,
"Low income in 2015","  0 to 17 years",,   98910,,   50725,,   48185,,   98910,,   50725,,   48185,
"Low income in 2015","    0 to 5 years",,   33950,,   17345,,   16605,,   33950,,   17340,,   16605,
"Low income in 2015","  18 to 64 years",,  322620,,  155490,,  167130,,  322620,,  155490,,  167135,
"Low income in 2015","  65 years and over",,   47800,,   17935,,   29865,,   47805,,   17935,,   29865,
"Low income in 2015","Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%)",,     17.4,,     17.3,,     17.6,,     17.4,,     17.3,,     17.6,
"Low income in 2015","  0 to 17 years (%)",,     20.7,,     20.7,,     20.7,,     20.7,,     20.7,,     20.7,
"Low income in 2015","    0 to 5 years (%)",,     20.9,,     20.8,,     21.0,,     20.9,,     20.8,,     21.0,
"Low income in 2015","  18 to 64 years (%)",,     17.8,,     17.8,,     17.8,,     17.8,,     17.8,,     17.8,
"Low income in 2015","  65 years and over (%)",,     11.9,,     10.2,,     13.2,,     11.9,,     10.2,,     13.2,
"Knowledge of languages","Total - Knowledge of languages for the population in private households - 25% sample data",44, 2691665,, 1296270,, 1395395,, 2691665,, 1296270,, 1395395,
"Knowledge of languages","  Official languages",, 2559780,, 1243220,, 1316560,, 2559780,, 1243220,, 1316560,
"Knowledge of languages","    English",, 2557220,, 1242190,, 1315035,, 2557220,, 1242185,, 1315035,
"Knowledge of languages","    French",,  246610,,  107660,,  138950,,  246610,,  107660,,  138950,
"Knowledge of languages","  Non-official languages",, 1464760,,  689505,,  775255,, 1464760,,  689505,,  775260,
"Knowledge of languages","    Aboriginal languages",,     795,,     325,,     470,,     795,,     325,,     465,
"Knowledge of languages","      Algonquian languages",,     660,,     285,,     375,,     660,,     285,,     375,
"Knowledge of languages","        Blackfoot",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Cree-Montagnais languages",,     135,,      65,,      70,,     135,,      70,,      65,
"Knowledge of languages","          Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Moose Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Northern East Cree",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","          Plains Cree",,      30,,      20,,      10,,      30,,      20,,      10,
"Knowledge of languages","          Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Swampy Cree",,      25,,      10,,      15,,      25,,       0,,      20,
"Knowledge of languages","          Woods Cree",,      10,,      10,,      10,,      10,,      10,,       0,
"Knowledge of languages","          Cree; n.o.s.",,      70,,      30,,      35,,      70,,      35,,      40,
"Knowledge of languages","        Eastern Algonquian languages",,      15,,       0,,      10,,      15,,      10,,      10,
"Knowledge of languages","          Malecite",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Mi'kmaq",,      15,,       0,,      10,,      10,,       0,,       0,
"Knowledge of languages","        Ojibway-Potawatomi languages",,     510,,     215,,     295,,     510,,     220,,     295,
"Knowledge of languages","          Algonquin",,      15,,      10,,      10,,      10,,       0,,      10,
"Knowledge of languages","          Ojibway",,     480,,     205,,     275,,     480,,     210,,     275,
"Knowledge of languages","          Oji-Cree",,      10,,       0,,      10,,      10,,       0,,      10,
"Knowledge of languages","          Ottawa (Odawa)",,      10,,      10,,       0,,      10,,      10,,       0,
"Knowledge of languages","        Algonquian languages; n.i.e.",,       0,,       0,,      10,,      10,,       0,,      10,
"Knowledge of languages","      Athabaskan languages",,      15,,      10,,      10,,      15,,       0,,      10,
"Knowledge of languages","        Northern Athabaskan languages",,      15,,       0,,      10,,      10,,      10,,      10,
"Knowledge of languages","          Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Carrier",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Chilcotin",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Dene",,      10,,      10,,       0,,      10,,       0,,       0,
"Knowledge of languages","          Dogrib (Tlicho)",,      10,,       0,,      10,,       0,,       0,,      10,
"Knowledge of languages","          Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Slavey-Hare languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Haida",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Inuit languages",,      20,,      10,,      15,,      25,,      10,,      10,
"Knowledge of languages","        Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Inuktitut",,      15,,      10,,      10,,      10,,       0,,      10,
"Knowledge of languages","        Inuit languages; n.i.e.",,      10,,      10,,       0,,      10,,      10,,      10,
"Knowledge of languages","      Iroquoian languages",,      50,,      10,,      40,,      50,,      10,,      40,
"Knowledge of languages","        Cayuga",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Mohawk",,      40,,      10,,      35,,      40,,       0,,      30,
"Knowledge of languages","        Oneida",,      10,,       0,,      10,,      10,,       0,,      10,
"Knowledge of languages","        Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Michif",,      10,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","      Salish languages",,       0,,      10,,      10,,      10,,      10,,      10,
"Knowledge of languages","        Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Okanagan",,      10,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","        Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Salish languages; n.i.e.",,      10,,       0,,      10,,       0,,       0,,      10,
"Knowledge of languages","      Siouan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Dakota",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Stoney",,      10,,       0,,      10,,       0,,       0,,       0,
"Knowledge of languages","        Siouan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Tsimshian languages",,       0,,       0,,      10,,       0,,       0,,      10,
"Knowledge of languages","        Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Nisga'a",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Tsimshian",,      10,,       0,,       0,,       0,,       0,,      10,
"Knowledge of languages","      Wakashan languages",,       0,,       0,,       0,,       0,,       0,,      10,
"Knowledge of languages","        Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Heiltsuk",,      10,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","        Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Aboriginal languages; n.o.s.",,      25,,      10,,      10,,      25,,      15,,      10,
"Knowledge of languages","    Non-Aboriginal languages",, 1464025,,  689205,,  774820,, 1464025,,  689205,,  774820,
"Knowledge of languages","      Afro-Asiatic languages",,  100730,,   49935,,   50795,,  100735,,   49935,,   50795,
"Knowledge of languages","        Berber languages",,     135,,      75,,      55,,     140,,      80,,      60,
"Knowledge of languages","          Kabyle",,      35,,      15,,      25,,      35,,      15,,      20,
"Knowledge of languages","          Berber languages; n.i.e.",,     110,,      65,,      45,,     105,,      65,,      45,
"Knowledge of languages","        Cushitic languages",,   17250,,    7505,,    9750,,   17255,,    7505,,    9750,
"Knowledge of languages","          Bilen",,      65,,      45,,      25,,      65,,      40,,      25,
"Knowledge of languages","          Oromo",,    1175,,     495,,     685,,    1180,,     495,,     685,
"Knowledge of languages","          Somali",,   16020,,    6955,,    9065,,   16025,,    6955,,    9065,
"Knowledge of languages","          Cushitic languages; n.i.e.",,      65,,      25,,      40,,      65,,      25,,      40,
"Knowledge of languages","        Semitic languages",,   84510,,   42935,,   41580,,   84510,,   42935,,   41580,
"Knowledge of languages","          Amharic",,    9560,,    4445,,    5120,,    9560,,    4440,,    5115,
"Knowledge of languages","          Arabic",,   47885,,   25005,,   22890,,   47885,,   25005,,   22885,
"Knowledge of languages","          Assyrian Neo-Aramaic",,    5930,,    2865,,    3065,,    5935,,    2865,,    3060,
"Knowledge of languages","          Chaldean Neo-Aramaic",,     680,,     335,,     350,,     680,,     335,,     350,
"Knowledge of languages","          Harari",,     945,,     480,,     465,,     945,,     480,,     470,
"Knowledge of languages","          Hebrew",,   18860,,    9555,,    9315,,   18860,,    9555,,    9310,
"Knowledge of languages","          Maltese",,    1860,,     910,,     950,,    1860,,     910,,     950,
"Knowledge of languages","          Tigrigna",,    5150,,    2425,,    2725,,    5150,,    2425,,    2720,
"Knowledge of languages","          Semitic languages; n.i.e.",,     465,,     255,,     205,,     465,,     255,,     210,
"Knowledge of languages","        Afro-Asiatic languages; n.i.e.",,     370,,     180,,     185,,     370,,     180,,     190,
"Knowledge of languages","      Austro-Asiatic languages",,   33965,,   15600,,   18360,,   33965,,   15600,,   18360,
"Knowledge of languages","        Khmer (Cambodian)",,    2020,,     850,,    1170,,    2020,,     845,,    1170,
"Knowledge of languages","        Vietnamese",,   32165,,   14870,,   17295,,   32165,,   14870,,   17295,
"Knowledge of languages","        Austro-Asiatic languages; n.i.e.",,      10,,       0,,      10,,      10,,       0,,      10,
"Knowledge of languages","      Austronesian languages",,  128075,,   50505,,   77570,,  128080,,   50505,,   77570,
"Knowledge of languages","        Bikol",,     385,,     175,,     210,,     385,,     175,,     210,
"Knowledge of languages","        Cebuano",,    4685,,    1865,,    2830,,    4685,,    1865,,    2825,
"Knowledge of languages","        Fijian",,      10,,       0,,      10,,      10,,       0,,      10,
"Knowledge of languages","        Hiligaynon",,    1810,,     730,,    1070,,    1810,,     735,,    1075,
"Knowledge of languages","        Ilocano",,    9550,,    3780,,    5770,,    9550,,    3780,,    5770,
"Knowledge of languages","        Malagasy",,      55,,      20,,      35,,      55,,      20,,      35,
"Knowledge of languages","        Malay",,    3435,,    1585,,    1850,,    3435,,    1585,,    1855,
"Knowledge of languages","        Pampangan (Kapampangan; Pampango)",,     920,,     420,,     505,,     925,,     425,,     505,
"Knowledge of languages","        Pangasinan",,     325,,     130,,     190,,     320,,     130,,     190,
"Knowledge of languages","        Tagalog (Pilipino; Filipino)",,  121155,,   47540,,   73620,,  121160,,   47540,,   73620,
"Knowledge of languages","        Waray-Waray",,     220,,      60,,     160,,     220,,      60,,     160,
"Knowledge of languages","        Austronesian languages; n.i.e.",,     895,,     360,,     535,,     895,,     360,,     535,
"Knowledge of languages","      Creole languages",,    8845,,    3795,,    5050,,    8845,,    3795,,    5050,
"Knowledge of languages","        Haitian Creole",,     455,,     195,,     265,,     455,,     190,,     260,
"Knowledge of languages","        Creole; n.o.s.",,    4830,,    2015,,    2825,,    4830,,    2010,,    2825,
"Knowledge of languages","        Creole languages; n.i.e.",,    3675,,    1625,,    2050,,    3675,,    1625,,    2050,
"Knowledge of languages","      Dravidian languages",,   87340,,   43525,,   43815,,   87340,,   43525,,   43810,
"Knowledge of languages","        Kannada",,    1610,,     835,,     775,,    1610,,     835,,     775,
"Knowledge of languages","        Malayalam",,    6705,,    3550,,    3155,,    6700,,    3545,,    3150,
"Knowledge of languages","        Tamil",,   74750,,   36615,,   38135,,   74745,,   36610,,   38135,
"Knowledge of languages","        Telugu",,    6130,,    3560,,    2575,,    6135,,    3560,,    2575,
"Knowledge of languages","        Dravidian languages; n.i.e.",,     160,,      75,,      80,,     160,,      80,,      85,
"Knowledge of languages","      Hmong-Mien languages",,      15,,       0,,      10,,      15,,      10,,       0,
"Knowledge of languages","      Indo-European languages",,  764770,,  369530,,  395235,,  764770,,  369530,,  395235,
"Knowledge of languages","        Albanian",,    9905,,    4880,,    5025,,    9905,,    4880,,    5025,
"Knowledge of languages","        Armenian",,    9630,,    4560,,    5070,,    9635,,    4560,,    5070,
"Knowledge of languages","        Balto-Slavic languages",,  138380,,   62970,,   75405,,  138375,,   62965,,   75410,
"Knowledge of languages","          Baltic languages",,    3910,,    1540,,    2370,,    3910,,    1540,,    2370,
"Knowledge of languages","            Latvian",,    1765,,     740,,    1025,,    1765,,     740,,    1025,
"Knowledge of languages","            Lithuanian",,    2145,,     800,,    1345,,    2150,,     800,,    1345,
"Knowledge of languages","          Slavic languages",,  135365,,   61790,,   73575,,  135360,,   61785,,   73580,
"Knowledge of languages","            Belarusan",,     470,,     240,,     225,,     470,,     240,,     225,
"Knowledge of languages","            Bosnian",,    1960,,     930,,    1035,,    1960,,     930,,    1030,
"Knowledge of languages","            Bulgarian",,    4860,,    2340,,    2525,,    4860,,    2340,,    2525,
"Knowledge of languages","            Croatian",,    8555,,    4140,,    4415,,    8555,,    4140,,    4415,
"Knowledge of languages","            Czech",,    3745,,    1795,,    1950,,    3745,,    1795,,    1950,
"Knowledge of languages","            Macedonian",,    8245,,    3855,,    4390,,    8245,,    3855,,    4395,
"Knowledge of languages","            Polish",,   30970,,   13515,,   17450,,   30970,,   13515,,   17450,
"Knowledge of languages","            Russian",,   51045,,   23150,,   27890,,   51045,,   23155,,   27890,
"Knowledge of languages","            Serbian",,   17025,,    8365,,    8660,,   17025,,    8365,,    8660,
"Knowledge of languages","            Serbo-Croatian",,    1800,,     850,,     950,,    1800,,     850,,     950,
"Knowledge of languages","            Slovak",,    3460,,    1605,,    1855,,    3460,,    1605,,    1855,
"Knowledge of languages","            Slovene (Slovenian)",,    2010,,     890,,    1120,,    2015,,     890,,    1125,
"Knowledge of languages","            Ukrainian",,   21020,,    9145,,   11870,,   21020,,    9150,,   11875,
"Knowledge of languages","            Slavic languages; n.i.e.",,     335,,     205,,     130,,     330,,     205,,     135,
"Knowledge of languages","        Celtic languages",,    1355,,     715,,     640,,    1350,,     715,,     635,
"Knowledge of languages","          Scottish Gaelic",,     395,,     220,,     180,,     400,,     220,,     180,
"Knowledge of languages","          Welsh",,     140,,      65,,      80,,     145,,      65,,      80,
"Knowledge of languages","          Celtic languages; n.i.e.",,     820,,     440,,     380,,     820,,     440,,     375,
"Knowledge of languages","        Germanic languages",,   43080,,   20695,,   22385,,   43085,,   20695,,   22380,
"Knowledge of languages","          Afrikaans",,    1670,,     850,,     820,,    1670,,     850,,     820,
"Knowledge of languages","          Danish",,    1090,,     485,,     605,,    1090,,     485,,     605,
"Knowledge of languages","          Dutch",,    4755,,    2330,,    2420,,    4755,,    2330,,    2425,
"Knowledge of languages","          Frisian",,      75,,      35,,      40,,      70,,      35,,      40,
"Knowledge of languages","          German",,   29980,,   14340,,   15640,,   29985,,   14340,,   15635,
"Knowledge of languages","          Icelandic",,     100,,      45,,      55,,     100,,      50,,      55,
"Knowledge of languages","          Norwegian",,     480,,     240,,     240,,     480,,     240,,     240,
"Knowledge of languages","          Swedish",,    1630,,     765,,     865,,    1630,,     765,,     865,
"Knowledge of languages","          Vlaams (Flemish)",,     160,,      65,,      90,,     160,,      70,,      90,
"Knowledge of languages","          Yiddish",,    4685,,    2305,,    2380,,    4690,,    2305,,    2380,
"Knowledge of languages","          Germanic languages; n.i.e.",,      55,,      25,,      35,,      55,,      25,,      35,
"Knowledge of languages","        Greek",,   40170,,   19690,,   20480,,   40165,,   19690,,   20480,
"Knowledge of languages","        Indo-Iranian languages",,  254825,,  130405,,  124415,,  254825,,  130405,,  124415,
"Knowledge of languages","          Indo-Aryan languages",,  193285,,   99090,,   94190,,  193280,,   99090,,   94195,
"Knowledge of languages","            Bengali",,   35635,,   18260,,   17375,,   35640,,   18260,,   17380,
"Knowledge of languages","            Gujarati",,   36180,,   18650,,   17530,,   36185,,   18655,,   17530,
"Knowledge of languages","            Hindi",,   65360,,   34355,,   31005,,   65360,,   34360,,   31005,
"Knowledge of languages","            Kashmiri",,      85,,      40,,      40,,      85,,      40,,      40,
"Knowledge of languages","            Konkani",,    1500,,     695,,     810,,    1505,,     695,,     810,
"Knowledge of languages","            Marathi",,    3230,,    1630,,    1600,,    3225,,    1630,,    1600,
"Knowledge of languages","            Nepali",,    3925,,    1945,,    1975,,    3920,,    1940,,    1980,
"Knowledge of languages","            Oriya (Odia)",,     450,,     220,,     230,,     450,,     220,,     230,
"Knowledge of languages","            Punjabi (Panjabi)",,   33785,,   17720,,   16060,,   33780,,   17720,,   16065,
"Knowledge of languages","            Sindhi",,    4185,,    1950,,    2235,,    4190,,    1955,,    2235,
"Knowledge of languages","            Sinhala (Sinhalese)",,    6860,,    3390,,    3470,,    6860,,    3385,,    3470,
"Knowledge of languages","            Urdu",,   57675,,   29285,,   28390,,   57675,,   29280,,   28390,
"Knowledge of languages","          Iranian languages",,   63765,,   32345,,   31420,,   63770,,   32350,,   31415,
"Knowledge of languages","            Kurdish",,    2080,,    1210,,     870,,    2080,,    1205,,     870,
"Knowledge of languages","            Pashto",,    6570,,    3595,,    2975,,    6570,,    3595,,    2975,
"Knowledge of languages","            Persian (Farsi)",,   57760,,   29105,,   28650,,   57755,,   29110,,   28650,
"Knowledge of languages","          Indo-Iranian languages; n.i.e.",,    1515,,     850,,     665,,    1520,,     850,,     665,
"Knowledge of languages","        Italic (Romance) languages",,  290570,,  136505,,  154065,,  290570,,  136500,,  154065,
"Knowledge of languages","          Catalan",,     240,,     125,,     115,,     240,,     125,,     115,
"Knowledge of languages","          Italian",,   91590,,   42755,,   48835,,   91590,,   42760,,   48835,
"Knowledge of languages","          Portuguese",,   75785,,   36510,,   39270,,   75785,,   36510,,   39270,
"Knowledge of languages","          Romanian",,   14620,,    6580,,    8045,,   14625,,    6575,,    8045,
"Knowledge of languages","          Spanish",,  122195,,   57080,,   65115,,  122190,,   57080,,   65110,
"Knowledge of languages","          Italic (Romance) languages; n.i.e.",,     440,,     225,,     220,,     440,,     225,,     215,
"Knowledge of languages","      Japanese",,   12070,,    5105,,    6960,,   12065,,    5105,,    6960,
"Knowledge of languages","      Kartvelian languages",,    1125,,     575,,     550,,    1130,,     575,,     550,
"Knowledge of languages","        Georgian",,    1130,,     570,,     550,,    1125,,     570,,     555,
"Knowledge of languages","      Korean",,   37610,,   17455,,   20155,,   37610,,   17460,,   20155,
"Knowledge of languages","      Mongolic languages",,     345,,     150,,     195,,     350,,     155,,     195,
"Knowledge of languages","        Mongolian",,     350,,     155,,     195,,     350,,     155,,     190,
"Knowledge of languages","      Niger-Congo languages",,   26430,,   12495,,   13935,,   26430,,   12495,,   13935,
"Knowledge of languages","        Akan (Twi)",,    7000,,    3215,,    3785,,    7005,,    3220,,    3785,
"Knowledge of languages","        Bamanankan",,     110,,      75,,      35,,     110,,      70,,      40,
"Knowledge of languages","        Edo",,    1210,,     500,,     705,,    1210,,     500,,     710,
"Knowledge of languages","        Ewe",,     265,,     155,,     110,,     265,,     155,,     110,
"Knowledge of languages","        Fulah (Pular; Pulaar; Fulfulde)",,     295,,     150,,     145,,     290,,     150,,     145,
"Knowledge of languages","        Ga",,     475,,     195,,     280,,     470,,     190,,     280,
"Knowledge of languages","        Ganda",,     585,,     280,,     305,,     585,,     280,,     305,
"Knowledge of languages","        Igbo",,    1480,,     765,,     710,,    1475,,     765,,     715,
"Knowledge of languages","        Lingala",,    1265,,     540,,     725,,    1270,,     540,,     730,
"Knowledge of languages","        Rundi (Kirundi)",,     400,,     210,,     185,,     400,,     210,,     185,
"Knowledge of languages","        Kinyarwanda (Rwanda)",,     460,,     215,,     250,,     460,,     210,,     250,
"Knowledge of languages","        Shona",,     760,,     350,,     410,,     755,,     350,,     410,
"Knowledge of languages","        Swahili",,    6210,,    3000,,    3210,,    6210,,    2995,,    3210,
"Knowledge of languages","        Wolof",,     285,,     135,,     150,,     285,,     135,,     150,
"Knowledge of languages","        Yoruba",,    3600,,    1870,,    1730,,    3600,,    1870,,    1730,
"Knowledge of languages","        Niger-Congo languages; n.i.e.",,    3975,,    1745,,    2230,,    3975,,    1745,,    2235,
"Knowledge of languages","      Nilo-Saharan languages",,     310,,     170,,     140,,     310,,     170,,     140,
"Knowledge of languages","        Dinka",,      60,,      35,,      20,,      55,,      40,,      20,
"Knowledge of languages","        Nilo-Saharan languages; n.i.e.",,     250,,     130,,     120,,     250,,     130,,     120,
"Knowledge of languages","      Sign languages",,    3090,,    1375,,    1715,,    3090,,    1375,,    1715,
"Knowledge of languages","        American Sign Language",,    1950,,     765,,    1185,,    1950,,     765,,    1185,
